fill	y	x	key	showSelectedlegendfill	showSelected1	showSelected2	PANEL
#000000	1	-4.87887596374943	finite	error	finite	-1.94	2
#000000	1	-4.83887596374943	finite	error	finite	-1.9	2
#000000	1	-4.79887596374943	finite	error	finite	-1.86	2
#000000	1	-4.75887596374943	finite	error	finite	-1.82	2
#000000	1	-4.71887596374943	finite	error	finite	-1.78	2
#000000	1	-4.70840601097615	infinite	error	infinite	-2.1	2
#000000	1	-4.67887596374943	finite	error	finite	-1.74	2
#000000	1	-4.66840601097615	infinite	error	infinite	-2.06	2
#000000	1	-4.63887596374943	finite	error	finite	-1.7	2
#000000	1	-4.62840601097615	infinite	error	infinite	-2.02	2
#000000	1	-4.59887596374943	finite	error	finite	-1.66	2
#000000	1	-4.58840601097615	infinite	error	infinite	-1.98	2
#000000	1	-4.55887596374943	finite	error	finite	-1.62	2
#000000	1	-4.54840601097615	infinite	error	infinite	-1.94	2
#000000	1	-4.51887596374943	finite	error	finite	-1.58	2
#000000	1	-4.50840601097615	infinite	error	infinite	-1.9	2
#000000	1	-4.47887596374943	finite	error	finite	-1.54	2
#000000	1	-4.46840601097615	infinite	error	infinite	-1.86	2
#000000	1	-4.43887596374943	finite	error	finite	-1.5	2
#000000	1	-4.42840601097615	infinite	error	infinite	-1.82	2
#000000	1	-4.39887596374943	finite	error	finite	-1.46	2
#000000	1	-4.38840601097615	infinite	error	infinite	-1.78	2
#000000	1	-4.35887596374943	finite	error	finite	-1.42	2
#000000	1	-4.34840601097615	infinite	error	infinite	-1.74	2
#000000	1	-4.31887596374943	finite	error	finite	-1.38	2
#000000	1	-4.30840601097615	infinite	error	infinite	-1.7	2
#000000	1	-4.27887596374943	finite	error	finite	-1.34	2
#000000	1	-4.26840601097615	infinite	error	infinite	-1.66	2
#000000	1	-4.23887596374943	finite	error	finite	-1.3	2
#000000	1	-4.22840601097615	infinite	error	infinite	-1.62	2
#000000	1	-4.19887596374943	finite	error	finite	-1.26	2
#000000	1	-4.18840601097615	infinite	error	infinite	-1.58	2
#000000	1	-4.15887596374943	finite	error	finite	-1.22	2
#000000	1	-4.14840601097615	infinite	error	infinite	-1.54	2
#000000	1	-4.11887596374943	finite	error	finite	-1.18	2
#000000	1	-4.10840601097615	infinite	error	infinite	-1.5	2
#000000	1	-4.07887596374943	finite	error	finite	-1.14	2
#000000	1	-4.06840601097615	infinite	error	infinite	-1.46	2
#000000	1	-4.03887596374943	finite	error	finite	-1.1	2
#000000	1	-4.02840601097615	infinite	error	infinite	-1.42	2
#000000	1	-3.99887596374943	finite	error	finite	-1.06	2
#000000	1	-3.98840601097615	infinite	error	infinite	-1.38	2
#000000	1	-3.95887596374943	finite	error	finite	-1.02	2
#000000	1	-3.94840601097615	infinite	error	infinite	-1.34	2
#000000	1	-3.91887596374943	finite	error	finite	-0.98	2
#000000	1	-3.90840601097615	infinite	error	infinite	-1.3	2
#000000	1	-3.87887596374943	finite	error	finite	-0.94	2
#000000	1	-3.86840601097615	infinite	error	infinite	-1.26	2
#000000	1	-3.83887596374943	finite	error	finite	-0.9	2
#000000	1	-3.82840601097615	infinite	error	infinite	-1.22	2
#000000	1	-3.79887596374943	finite	error	finite	-0.86	2
#000000	1	-3.78840601097615	infinite	error	infinite	-1.18	2
#000000	1	-3.75887596374943	finite	error	finite	-0.82	2
#000000	1	-3.74840601097615	infinite	error	infinite	-1.14	2
#000000	1	-3.71887596374943	finite	error	finite	-0.78	2
#000000	1	-3.70840601097615	infinite	error	infinite	-1.1	2
#000000	1	-3.67887596374943	finite	error	finite	-0.74	2
#000000	1	-3.66840601097615	infinite	error	infinite	-1.06	2
#000000	1	-3.63887596374943	finite	error	finite	-0.7	2
#000000	1	-3.62840601097615	infinite	error	infinite	-1.02	2
#000000	1	-3.59887596374943	finite	error	finite	-0.66	2
#000000	1	-3.58840601097615	infinite	error	infinite	-0.98	2
#000000	1	-3.55887596374943	finite	error	finite	-0.62	2
#000000	1	-3.54840601097615	infinite	error	infinite	-0.94	2
#000000	1	-3.51887596374943	finite	error	finite	-0.58	2
#000000	1	-3.50840601097615	infinite	error	infinite	-0.9	2
#000000	1	-3.47887596374943	finite	error	finite	-0.54	2
#000000	1	-3.46840601097615	infinite	error	infinite	-0.86	2
#000000	1	-3.43887596374943	finite	error	finite	-0.5	2
#000000	1	-3.42840601097615	infinite	error	infinite	-0.82	2
#000000	1	-3.39887596374943	finite	error	finite	-0.46	2
#000000	1	-3.38840601097615	infinite	error	infinite	-0.78	2
#000000	1	-3.35887596374943	finite	error	finite	-0.42	2
#000000	1	-3.34840601097615	infinite	error	infinite	-0.74	2
#000000	1	-3.31887596374943	finite	error	finite	-0.38	2
#000000	1	-3.30840601097615	infinite	error	infinite	-0.7	2
#000000	1	-3.27887596374943	finite	error	finite	-0.34	2
#000000	1	-3.26840601097615	infinite	error	infinite	-0.66	2
#000000	1	-3.23887596374943	finite	error	finite	-0.3	2
#000000	1	-3.22840601097615	infinite	error	infinite	-0.62	2
#000000	1	-3.19887596374943	finite	error	finite	-0.26	2
#000000	1	-3.18840601097615	infinite	error	infinite	-0.58	2
#000000	1	-3.15887596374943	finite	error	finite	-0.22	2
#000000	1	-3.14840601097615	infinite	error	infinite	-0.54	2
#000000	1	-3.11887596374943	finite	error	finite	-0.18	2
#000000	1	-3.10840601097615	infinite	error	infinite	-0.5	2
#000000	1	-3.07887596374943	finite	error	finite	-0.14	2
#000000	1	-3.06840601097615	infinite	error	infinite	-0.46	2
#000000	1	-3.03887596374943	finite	error	finite	-0.1	2
#000000	1	-3.02840601097615	infinite	error	infinite	-0.42	2
#FFFFFF	0	-2.99887596374943	finite	correct	finite	-0.0600000000000001	2
#FFFFFF	0	-2.98840601097615	infinite	correct	infinite	-0.38	2
#FFFFFF	0	-2.95887596374943	finite	correct	finite	-0.02	2
#FFFFFF	0	-2.94840601097615	infinite	correct	infinite	-0.34	2
#FFFFFF	0	-2.91887596374943	finite	correct	finite	0.02	2
#FFFFFF	0	-2.90840601097615	infinite	correct	infinite	-0.3	2
#FFFFFF	0	-2.87887596374943	finite	correct	finite	0.0600000000000001	2
#000000	1	-2.86840601097615	infinite	error	infinite	-0.26	2
#000000	1	-2.83887596374943	finite	error	finite	0.1	2
#000000	1	-2.82840601097615	infinite	error	infinite	-0.22	2
#000000	1	-2.79887596374943	finite	error	finite	0.14	2
#000000	1	-2.78840601097615	infinite	error	infinite	-0.18	2
#000000	1	-2.75887596374943	finite	error	finite	0.18	2
#000000	1	-2.74840601097615	infinite	error	infinite	-0.14	2
#000000	1	-2.71887596374943	finite	error	finite	0.22	2
#000000	1	-2.70840601097615	infinite	error	infinite	-0.1	2
#FFFFFF	0	-2.70840601097615	infinite	correct	infinite	-0.1	2
#FFFFFF	0	-2.67887596374943	finite	correct	finite	0.26	2
#FFFFFF	0	-2.66840601097615	infinite	correct	infinite	-0.0600000000000001	2
#FFFFFF	0	-2.63887596374943	finite	correct	finite	0.3	2
#FFFFFF	0	-2.62840601097615	infinite	correct	infinite	-0.02	2
#FFFFFF	0	-2.59887596374943	finite	correct	finite	0.34	2
#FFFFFF	0	-2.58840601097615	infinite	correct	infinite	0.02	2
#FFFFFF	0	-2.55887596374943	finite	correct	finite	0.38	2
#FFFFFF	0	-2.54840601097615	infinite	correct	infinite	0.0600000000000001	2
#FFFFFF	0	-2.51887596374943	finite	correct	finite	0.42	2
#FFFFFF	0	-2.50840601097615	infinite	correct	infinite	0.1	2
#FFFFFF	0	-2.47887596374943	finite	correct	finite	0.46	2
#FFFFFF	0	-2.46840601097615	infinite	correct	infinite	0.14	2
#FFFFFF	0	-2.43887596374943	finite	correct	finite	0.5	2
#FFFFFF	0	-2.42840601097615	infinite	correct	infinite	0.18	2
#FFFFFF	0	-2.39887596374943	finite	correct	finite	0.54	2
#FFFFFF	0	-2.38840601097615	infinite	correct	infinite	0.22	2
#FFFFFF	0	-2.35887596374943	finite	correct	finite	0.58	2
#FFFFFF	0	-2.34840601097615	infinite	correct	infinite	0.26	2
#FFFFFF	0	-2.31887596374943	finite	correct	finite	0.62	2
#FFFFFF	0	-2.30840601097615	infinite	correct	infinite	0.3	2
#FFFFFF	0	-2.27887596374943	finite	correct	finite	0.66	2
#FFFFFF	0	-2.26840601097615	infinite	correct	infinite	0.34	2
#FFFFFF	0	-2.23887596374943	finite	correct	finite	0.7	2
#FFFFFF	0	-2.22840601097615	infinite	correct	infinite	0.38	2
#FFFFFF	0	-2.19887596374943	finite	correct	finite	0.74	2
#FFFFFF	0	-2.18840601097615	infinite	correct	infinite	0.42	2
#FFFFFF	0	-2.15887596374943	finite	correct	finite	0.78	2
#FFFFFF	0	-2.14840601097615	infinite	correct	infinite	0.46	2
#FFFFFF	0	-2.11887596374943	finite	correct	finite	0.82	2
#FFFFFF	0	-2.10840601097615	infinite	correct	infinite	0.5	2
#FFFFFF	0	-2.07887596374943	finite	correct	finite	0.86	2
#FFFFFF	0	-2.06840601097615	infinite	correct	infinite	0.54	2
#FFFFFF	0	-2.03887596374943	finite	correct	finite	0.9	2
#FFFFFF	0	-2.02840601097615	infinite	correct	infinite	0.58	2
#FFFFFF	0	-1.99887596374943	finite	correct	finite	0.94	2
#FFFFFF	0	-1.98840601097615	infinite	correct	infinite	0.62	2
#FFFFFF	0	-1.95887596374943	finite	correct	finite	0.98	2
#FFFFFF	0	-1.94840601097615	infinite	correct	infinite	0.66	2
#FFFFFF	0	-1.91887596374943	finite	correct	finite	1.02	2
#FFFFFF	0	-1.90840601097615	infinite	correct	infinite	0.7	2
#FFFFFF	0	-1.87887596374943	finite	correct	finite	1.06	2
#FFFFFF	0	-1.86840601097615	infinite	correct	infinite	0.74	2
#FFFFFF	0	-1.83887596374943	finite	correct	finite	1.1	2
#FFFFFF	0	-1.82840601097615	infinite	correct	infinite	0.78	2
#FFFFFF	0	-1.79887596374943	finite	correct	finite	1.14	2
#FFFFFF	0	-1.78840601097615	infinite	correct	infinite	0.82	2
#FFFFFF	0	-1.75887596374943	finite	correct	finite	1.18	2
#FFFFFF	0	-1.74840601097615	infinite	correct	infinite	0.86	2
#FFFFFF	0	-1.71887596374943	finite	correct	finite	1.22	2
#FFFFFF	0	-1.70840601097615	infinite	correct	infinite	0.9	2
#FFFFFF	0	-1.67887596374943	finite	correct	finite	1.26	2
#FFFFFF	0	-1.66840601097615	infinite	correct	infinite	0.94	2
#FFFFFF	0	-1.63887596374943	finite	correct	finite	1.3	2
#FFFFFF	0	-1.62840601097615	infinite	correct	infinite	0.98	2
#FFFFFF	0	-1.59887596374943	finite	correct	finite	1.34	2
#FFFFFF	0	-1.58840601097615	infinite	correct	infinite	1.02	2
#FFFFFF	0	-1.55887596374943	finite	correct	finite	1.38	2
#FFFFFF	0	-1.54840601097615	infinite	correct	infinite	1.06	2
#FFFFFF	0	-1.51887596374943	finite	correct	finite	1.42	2
#FFFFFF	0	-1.50840601097615	infinite	correct	infinite	1.1	2
#FFFFFF	0	-1.47887596374943	finite	correct	finite	1.46	2
#FFFFFF	0	-1.46840601097615	infinite	correct	infinite	1.14	2
#FFFFFF	0	-1.43887596374943	finite	correct	finite	1.5	2
#FFFFFF	0	-1.42840601097615	infinite	correct	infinite	1.18	2
#FFFFFF	0	-1.39887596374943	finite	correct	finite	1.54	2
#FFFFFF	0	-1.38840601097615	infinite	correct	infinite	1.22	2
#FFFFFF	0	-1.35887596374943	finite	correct	finite	1.58	2
#FFFFFF	0	-1.34840601097615	infinite	correct	infinite	1.26	2
#FFFFFF	0	-1.31887596374943	finite	correct	finite	1.62	2
#FFFFFF	0	-1.30840601097615	infinite	correct	infinite	1.3	2
#FFFFFF	0	-1.27887596374943	finite	correct	finite	1.66	2
#FFFFFF	0	-1.26840601097615	infinite	correct	infinite	1.34	2
#FFFFFF	0	-1.23887596374943	finite	correct	finite	1.7	2
#FFFFFF	0	-1.22840601097615	infinite	correct	infinite	1.38	2
#FFFFFF	0	-1.19887596374943	finite	correct	finite	1.74	2
#FFFFFF	0	-1.18840601097615	infinite	correct	infinite	1.42	2
#FFFFFF	0	-1.15887596374943	finite	correct	finite	1.78	2
#FFFFFF	0	-1.14840601097615	infinite	correct	infinite	1.46	2
#FFFFFF	0	-1.11887596374943	finite	correct	finite	1.82	2
#FFFFFF	0	-1.10840601097615	infinite	correct	infinite	1.5	2
#FFFFFF	0	-1.07887596374943	finite	correct	finite	1.86	2
#FFFFFF	0	-1.06840601097615	infinite	correct	infinite	1.54	2
#FFFFFF	0	-1.03887596374943	finite	correct	finite	1.9	2
#FFFFFF	0	-1.02840601097615	infinite	correct	infinite	1.58	2
#FFFFFF	0	-0.998875963749427	finite	correct	finite	1.94	2
#FFFFFF	0	-0.988406010976153	infinite	correct	infinite	1.62	2
#FFFFFF	0	-0.958875963749426	finite	correct	finite	1.98	2
#FFFFFF	0	-0.948406010976153	infinite	correct	infinite	1.66	2
#FFFFFF	0	-0.908406010976153	infinite	correct	infinite	1.7	2
#FFFFFF	0	-0.868406010976153	infinite	correct	infinite	1.74	2
#FFFFFF	0	-0.828406010976153	infinite	correct	infinite	1.78	2
#FFFFFF	0	-0.788406010976153	infinite	correct	infinite	1.82	2
#FFFFFF	0	-0.748406010976153	infinite	correct	infinite	1.86	2
#FFFFFF	0	-0.708406010976153	infinite	correct	infinite	1.9	2
#FFFFFF	0	-0.668406010976153	infinite	correct	infinite	1.94	2
#FFFFFF	0	-0.628406010976153	infinite	correct	infinite	1.98	2
#000000	1	-5.54730962060694	finite	error	finite	-2.1	3
#000000	1	-5.50730962060694	finite	error	finite	-2.06	3
#000000	1	-5.46730962060694	finite	error	finite	-2.02	3
#000000	1	-5.42730962060694	finite	error	finite	-1.98	3
#000000	1	-5.38730962060694	finite	error	finite	-1.94	3
